Period,Hydro,Wind,Bioenergy,Solar
1995,"16,239.00",7,723,18.9
1996,"15,731.00",7,928,23.4
1997,"16,852.00",7,965,27.8
1998,"15,733.00",8,"1,029.00",33.5
1999,"16,563.00",28,"1,133.00",37.7
2000,"16,720.00",58,"1,134.00",43.5
2001,"16,933.00",210,645,50
2002,"16,054.00",364,950,58.3
2003,"16,490.00",703.1,"1,583.60",58.3
2004,"16,331.10",705,"1,799.50",68.6
2005,"15,612.20",885,"3,830.00",78.3
2006,"16,029.20","1,713.10","3,911.00",90.8
2007,"14,517.00","2,611.10","3,953.00",105.2
2008,"12,056.90","3,093.10","4,596.00",123.3
2009,"11,869.40","3,823.80","2,795.20",156.1
2010,"13,548.70","5,051.70","2,777.40",425.4
2011,"16,806.70","6,084.90","2,101.70","1,530.90"
2012,"14,083.30","6,969.70","3,043.70","2,559.20"
2013,"18,269.60","7,959.60","3,143.50","3,826.80"
2014,"18,421.00","10,252.00","3,499.40","4,416.50"
2015,"13,445.00","11,466.60","3,592.20","5,531.90"
2016,"15,318.20","12,199.50","3,789.90","6,838.50"
2017,"16,284.90","12,597.00","3,500.50","8,072.20"
2018,"16,020.80","15,174.40","3,517.70","9,929.90"
2019,"15,967.30","17,712.00","3,495.90","14,848.50"
2020,"15,149.60","20,395.90","3,351.60","21,033.20"
